"error","ranef","alpha","var.settings","variable","prop.reject","nortest","random.effect","rotation","s"
"exp","t",0.05,"sige1_sigb2","AD.b0.vmx",0.323,"AD","b0","Varimax Rotated",35
"exp","t",0.1,"sige1_sigb2","AD.b0.vmx",0.404,"AD","b0","Varimax Rotated",35
"norm","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.288,"AD","b0","Varimax Rotated",35
"norm","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.404,"AD","b0","Varimax Rotated",35
"norm","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.045,"AD","b0","Varimax Rotated",35
"norm","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.095,"AD","b0","Varimax Rotated",35
"norm","t",0.05,"sige1_sigb2","AD.b0.vmx",0.318,"AD","b0","Varimax Rotated",35
"norm","t",0.1,"sige1_sigb2","AD.b0.vmx",0.414,"AD","b0","Varimax Rotated",35
"t","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.31,"AD","b0","Varimax Rotated",35
"t","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.404,"AD","b0","Varimax Rotated",35
"t","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.052,"AD","b0","Varimax Rotated",35
"t","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.1,"AD","b0","Varimax Rotated",35
"t","t",0.05,"sige1_sigb2","AD.b0.vmx",0.351,"AD","b0","Varimax Rotated",35
"t","t",0.1,"sige1_sigb2","AD.b0.vmx",0.434,"AD","b0","Varimax Rotated",35
"exp","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.211,"AD","b0","Varimax Rotated",40
"exp","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.308,"AD","b0","Varimax Rotated",40
"exp","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.061,"AD","b0","Varimax Rotated",40
"exp","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.115,"AD","b0","Varimax Rotated",40
"exp","t",0.05,"sige2_sigb1","AD.b0.vmx",0.244,"AD","b0","Varimax Rotated",40
"exp","t",0.1,"sige2_sigb1","AD.b0.vmx",0.312,"AD","b0","Varimax Rotated",40
"norm","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.227,"AD","b0","Varimax Rotated",40
"norm","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.32,"AD","b0","Varimax Rotated",40
"norm","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.053,"AD","b0","Varimax Rotated",40
"norm","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.121,"AD","b0","Varimax Rotated",40
"norm","t",0.05,"sige2_sigb1","AD.b0.vmx",0.233,"AD","b0","Varimax Rotated",40
"norm","t",0.1,"sige2_sigb1","AD.b0.vmx",0.311,"AD","b0","Varimax Rotated",40
"t","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.255,"AD","b0","Varimax Rotated",40
"t","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.349,"AD","b0","Varimax Rotated",40
"t","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.06,"AD","b0","Varimax Rotated",40
"t","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.116,"AD","b0","Varimax Rotated",40
"t","t",0.05,"sige2_sigb1","AD.b0.vmx",0.301,"AD","b0","Varimax Rotated",40
"t","t",0.1,"sige2_sigb1","AD.b0.vmx",0.38,"AD","b0","Varimax Rotated",40
"exp","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.347,"AD","b0","Varimax Rotated",40
"exp","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.435,"AD","b0","Varimax Rotated",40
"exp","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.049,"AD","b0","Varimax Rotated",40
"exp","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.1,"AD","b0","Varimax Rotated",40
"exp","t",0.05,"sige1_sigb1","AD.b0.vmx",0.364,"AD","b0","Varimax Rotated",40
"exp","t",0.1,"sige1_sigb1","AD.b0.vmx",0.458,"AD","b0","Varimax Rotated",40
"norm","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.331,"AD","b0","Varimax Rotated",40
"norm","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.436,"AD","b0","Varimax Rotated",40
"norm","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.066,"AD","b0","Varimax Rotated",40
"norm","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.111,"AD","b0","Varimax Rotated",40
"norm","t",0.05,"sige1_sigb1","AD.b0.vmx",0.36,"AD","b0","Varimax Rotated",40
"norm","t",0.1,"sige1_sigb1","AD.b0.vmx",0.452,"AD","b0","Varimax Rotated",40
"t","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.354,"AD","b0","Varimax Rotated",40
"t","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.456,"AD","b0","Varimax Rotated",40
"t","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.051,"AD","b0","Varimax Rotated",40
"t","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.115,"AD","b0","Varimax Rotated",40
"t","t",0.05,"sige1_sigb1","AD.b0.vmx",0.375,"AD","b0","Varimax Rotated",40
"t","t",0.1,"sige1_sigb1","AD.b0.vmx",0.46,"AD","b0","Varimax Rotated",40
"exp","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.294,"AD","b0","Varimax Rotated",40
"exp","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.377,"AD","b0","Varimax Rotated",40
"exp","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.051,"AD","b0","Varimax Rotated",40
"exp","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.103,"AD","b0","Varimax Rotated",40
"exp","t",0.05,"sige1_sigb2","AD.b0.vmx",0.351,"AD","b0","Varimax Rotated",40
"exp","t",0.1,"sige1_sigb2","AD.b0.vmx",0.429,"AD","b0","Varimax Rotated",40
"norm","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.324,"AD","b0","Varimax Rotated",40
"norm","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.436,"AD","b0","Varimax Rotated",40
"norm","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.06,"AD","b0","Varimax Rotated",40
"norm","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.116,"AD","b0","Varimax Rotated",40
"norm","t",0.05,"sige1_sigb2","AD.b0.vmx",0.325,"AD","b0","Varimax Rotated",40
"norm","t",0.1,"sige1_sigb2","AD.b0.vmx",0.423,"AD","b0","Varimax Rotated",40
"t","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.305,"AD","b0","Varimax Rotated",40
"t","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.421,"AD","b0","Varimax Rotated",40
"t","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.052,"AD","b0","Varimax Rotated",40
"t","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.11,"AD","b0","Varimax Rotated",40
"t","t",0.05,"sige1_sigb2","AD.b0.vmx",0.365,"AD","b0","Varimax Rotated",40
"t","t",0.1,"sige1_sigb2","AD.b0.vmx",0.449,"AD","b0","Varimax Rotated",40
"exp","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.231,"AD","b0","Varimax Rotated",45
"exp","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.323,"AD","b0","Varimax Rotated",45
"exp","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.055,"AD","b0","Varimax Rotated",45
"exp","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.107,"AD","b0","Varimax Rotated",45
"exp","t",0.05,"sige2_sigb1","AD.b0.vmx",0.27,"AD","b0","Varimax Rotated",45
"exp","t",0.1,"sige2_sigb1","AD.b0.vmx",0.341,"AD","b0","Varimax Rotated",45
"norm","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.221,"AD","b0","Varimax Rotated",45
"norm","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.313,"AD","b0","Varimax Rotated",45
"norm","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.053,"AD","b0","Varimax Rotated",45
"norm","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.108,"AD","b0","Varimax Rotated",45
"norm","t",0.05,"sige2_sigb1","AD.b0.vmx",0.229,"AD","b0","Varimax Rotated",45
"norm","t",0.1,"sige2_sigb1","AD.b0.vmx",0.3,"AD","b0","Varimax Rotated",45
"t","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.25,"AD","b0","Varimax Rotated",45
"t","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.355,"AD","b0","Varimax Rotated",45
"t","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.071,"AD","b0","Varimax Rotated",45
"t","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.128,"AD","b0","Varimax Rotated",45
"t","t",0.05,"sige2_sigb1","AD.b0.vmx",0.316,"AD","b0","Varimax Rotated",45
"t","t",0.1,"sige2_sigb1","AD.b0.vmx",0.399,"AD","b0","Varimax Rotated",45
"exp","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.34,"AD","b0","Varimax Rotated",45
"exp","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.469,"AD","b0","Varimax Rotated",45
"exp","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.058,"AD","b0","Varimax Rotated",45
"exp","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.099,"AD","b0","Varimax Rotated",45
"exp","t",0.05,"sige1_sigb1","AD.b0.vmx",0.387,"AD","b0","Varimax Rotated",45
"exp","t",0.1,"sige1_sigb1","AD.b0.vmx",0.47,"AD","b0","Varimax Rotated",45
"norm","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.362,"AD","b0","Varimax Rotated",45
"norm","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.445,"AD","b0","Varimax Rotated",45
"norm","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.043,"AD","b0","Varimax Rotated",45
"norm","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.105,"AD","b0","Varimax Rotated",45
"norm","t",0.05,"sige1_sigb1","AD.b0.vmx",0.372,"AD","b0","Varimax Rotated",45
"norm","t",0.1,"sige1_sigb1","AD.b0.vmx",0.445,"AD","b0","Varimax Rotated",45
"t","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.377,"AD","b0","Varimax Rotated",45
"t","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.484,"AD","b0","Varimax Rotated",45
"t","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.053,"AD","b0","Varimax Rotated",45
"t","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.116,"AD","b0","Varimax Rotated",45
"t","t",0.05,"sige1_sigb1","AD.b0.vmx",0.403,"AD","b0","Varimax Rotated",45
"t","t",0.1,"sige1_sigb1","AD.b0.vmx",0.489,"AD","b0","Varimax Rotated",45
"exp","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.33,"AD","b0","Varimax Rotated",45
"exp","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.431,"AD","b0","Varimax Rotated",45
"exp","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.057,"AD","b0","Varimax Rotated",45
"exp","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.112,"AD","b0","Varimax Rotated",45
"exp","t",0.05,"sige1_sigb2","AD.b0.vmx",0.372,"AD","b0","Varimax Rotated",45
"exp","t",0.1,"sige1_sigb2","AD.b0.vmx",0.462,"AD","b0","Varimax Rotated",45
"norm","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.337,"AD","b0","Varimax Rotated",45
"norm","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.439,"AD","b0","Varimax Rotated",45
"norm","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.051,"AD","b0","Varimax Rotated",45
"norm","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.107,"AD","b0","Varimax Rotated",45
"norm","t",0.05,"sige1_sigb2","AD.b0.vmx",0.361,"AD","b0","Varimax Rotated",45
"norm","t",0.1,"sige1_sigb2","AD.b0.vmx",0.484,"AD","b0","Varimax Rotated",45
"t","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.333,"AD","b0","Varimax Rotated",45
"t","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.426,"AD","b0","Varimax Rotated",45
"t","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.046,"AD","b0","Varimax Rotated",45
"t","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.093,"AD","b0","Varimax Rotated",45
"t","t",0.05,"sige1_sigb2","AD.b0.vmx",0.374,"AD","b0","Varimax Rotated",45
"t","t",0.1,"sige1_sigb2","AD.b0.vmx",0.461,"AD","b0","Varimax Rotated",45
"exp","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.217,"AD","b0","Varimax Rotated",50
"exp","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.314,"AD","b0","Varimax Rotated",50
"exp","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.044,"AD","b0","Varimax Rotated",50
"exp","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.091,"AD","b0","Varimax Rotated",50
"exp","t",0.05,"sige2_sigb1","AD.b0.vmx",0.256,"AD","b0","Varimax Rotated",50
"exp","t",0.1,"sige2_sigb1","AD.b0.vmx",0.346,"AD","b0","Varimax Rotated",50
"norm","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.213,"AD","b0","Varimax Rotated",50
"norm","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.307,"AD","b0","Varimax Rotated",50
"norm","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.052,"AD","b0","Varimax Rotated",50
"norm","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.107,"AD","b0","Varimax Rotated",50
"norm","t",0.05,"sige2_sigb1","AD.b0.vmx",0.233,"AD","b0","Varimax Rotated",50
"norm","t",0.1,"sige2_sigb1","AD.b0.vmx",0.31,"AD","b0","Varimax Rotated",50
"t","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.271,"AD","b0","Varimax Rotated",50
"t","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.37,"AD","b0","Varimax Rotated",50
"t","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.08,"AD","b0","Varimax Rotated",50
"t","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.136,"AD","b0","Varimax Rotated",50
"t","t",0.05,"sige2_sigb1","AD.b0.vmx",0.321,"AD","b0","Varimax Rotated",50
"t","t",0.1,"sige2_sigb1","AD.b0.vmx",0.406,"AD","b0","Varimax Rotated",50
"exp","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.366,"AD","b0","Varimax Rotated",50
"exp","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.472,"AD","b0","Varimax Rotated",50
"exp","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.052,"AD","b0","Varimax Rotated",50
"exp","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.083,"AD","b0","Varimax Rotated",50
"exp","t",0.05,"sige1_sigb1","AD.b0.vmx",0.415,"AD","b0","Varimax Rotated",50
"exp","t",0.1,"sige1_sigb1","AD.b0.vmx",0.497,"AD","b0","Varimax Rotated",50
"norm","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.344,"AD","b0","Varimax Rotated",50
"norm","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.457,"AD","b0","Varimax Rotated",50
"norm","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.04,"AD","b0","Varimax Rotated",50
"norm","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.096,"AD","b0","Varimax Rotated",50
"norm","t",0.05,"sige1_sigb1","AD.b0.vmx",0.39,"AD","b0","Varimax Rotated",50
"norm","t",0.1,"sige1_sigb1","AD.b0.vmx",0.467,"AD","b0","Varimax Rotated",50
"t","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.397,"AD","b0","Varimax Rotated",50
"t","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.492,"AD","b0","Varimax Rotated",50
"t","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.056,"AD","b0","Varimax Rotated",50
"t","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.115,"AD","b0","Varimax Rotated",50
"t","t",0.05,"sige1_sigb1","AD.b0.vmx",0.43,"AD","b0","Varimax Rotated",50
"t","t",0.1,"sige1_sigb1","AD.b0.vmx",0.517,"AD","b0","Varimax Rotated",50
"exp","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.356,"AD","b0","Varimax Rotated",50
"exp","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.459,"AD","b0","Varimax Rotated",50
"exp","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.055,"AD","b0","Varimax Rotated",50
"exp","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.096,"AD","b0","Varimax Rotated",50
"exp","t",0.05,"sige1_sigb2","AD.b0.vmx",0.394,"AD","b0","Varimax Rotated",50
"exp","t",0.1,"sige1_sigb2","AD.b0.vmx",0.475,"AD","b0","Varimax Rotated",50
"norm","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.358,"AD","b0","Varimax Rotated",50
"norm","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.469,"AD","b0","Varimax Rotated",50
"norm","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.04,"AD","b0","Varimax Rotated",50
"norm","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.095,"AD","b0","Varimax Rotated",50
"norm","t",0.05,"sige1_sigb2","AD.b0.vmx",0.383,"AD","b0","Varimax Rotated",50
"norm","t",0.1,"sige1_sigb2","AD.b0.vmx",0.473,"AD","b0","Varimax Rotated",50
"t","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.355,"AD","b0","Varimax Rotated",50
"t","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.457,"AD","b0","Varimax Rotated",50
"t","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.051,"AD","b0","Varimax Rotated",50
"t","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.109,"AD","b0","Varimax Rotated",50
"t","t",0.05,"sige1_sigb2","AD.b0.vmx",0.416,"AD","b0","Varimax Rotated",50
"t","t",0.1,"sige1_sigb2","AD.b0.vmx",0.507,"AD","b0","Varimax Rotated",50
"exp","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.235,"AD","b0","Varimax Rotated",55
"exp","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.32,"AD","b0","Varimax Rotated",55
"exp","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.051,"AD","b0","Varimax Rotated",55
"exp","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.093,"AD","b0","Varimax Rotated",55
"exp","t",0.05,"sige2_sigb1","AD.b0.vmx",0.267,"AD","b0","Varimax Rotated",55
"exp","t",0.1,"sige2_sigb1","AD.b0.vmx",0.361,"AD","b0","Varimax Rotated",55
"norm","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.212,"AD","b0","Varimax Rotated",55
"norm","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.292,"AD","b0","Varimax Rotated",55
"norm","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.053,"AD","b0","Varimax Rotated",55
"norm","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.097,"AD","b0","Varimax Rotated",55
"norm","t",0.05,"sige2_sigb1","AD.b0.vmx",0.223,"AD","b0","Varimax Rotated",55
"norm","t",0.1,"sige2_sigb1","AD.b0.vmx",0.3,"AD","b0","Varimax Rotated",55
"t","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.284,"AD","b0","Varimax Rotated",55
"t","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.38,"AD","b0","Varimax Rotated",55
"t","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.091,"AD","b0","Varimax Rotated",55
"t","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.167,"AD","b0","Varimax Rotated",55
"t","t",0.05,"sige2_sigb1","AD.b0.vmx",0.333,"AD","b0","Varimax Rotated",55
"t","t",0.1,"sige2_sigb1","AD.b0.vmx",0.446,"AD","b0","Varimax Rotated",55
"exp","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.403,"AD","b0","Varimax Rotated",55
"exp","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.515,"AD","b0","Varimax Rotated",55
"exp","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.047,"AD","b0","Varimax Rotated",55
"exp","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.102,"AD","b0","Varimax Rotated",55
"exp","t",0.05,"sige1_sigb1","AD.b0.vmx",0.412,"AD","b0","Varimax Rotated",55
"exp","t",0.1,"sige1_sigb1","AD.b0.vmx",0.492,"AD","b0","Varimax Rotated",55
"norm","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.358,"AD","b0","Varimax Rotated",55
"norm","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.469,"AD","b0","Varimax Rotated",55
"norm","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.043,"AD","b0","Varimax Rotated",55
"norm","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.1,"AD","b0","Varimax Rotated",55
"norm","t",0.05,"sige1_sigb1","AD.b0.vmx",0.394,"AD","b0","Varimax Rotated",55
"norm","t",0.1,"sige1_sigb1","AD.b0.vmx",0.492,"AD","b0","Varimax Rotated",55
"t","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.409,"AD","b0","Varimax Rotated",55
"t","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.509,"AD","b0","Varimax Rotated",55
"t","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.059,"AD","b0","Varimax Rotated",55
"t","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.108,"AD","b0","Varimax Rotated",55
"t","t",0.05,"sige1_sigb1","AD.b0.vmx",0.444,"AD","b0","Varimax Rotated",55
"t","t",0.1,"sige1_sigb1","AD.b0.vmx",0.526,"AD","b0","Varimax Rotated",55
"exp","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.378,"AD","b0","Varimax Rotated",55
"exp","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.474,"AD","b0","Varimax Rotated",55
"exp","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.046,"AD","b0","Varimax Rotated",55
"exp","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.093,"AD","b0","Varimax Rotated",55
"exp","t",0.05,"sige1_sigb2","AD.b0.vmx",0.422,"AD","b0","Varimax Rotated",55
"exp","t",0.1,"sige1_sigb2","AD.b0.vmx",0.51,"AD","b0","Varimax Rotated",55
"norm","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.369,"AD","b0","Varimax Rotated",55
"norm","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.455,"AD","b0","Varimax Rotated",55
"norm","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.051,"AD","b0","Varimax Rotated",55
"norm","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.093,"AD","b0","Varimax Rotated",55
"norm","t",0.05,"sige1_sigb2","AD.b0.vmx",0.421,"AD","b0","Varimax Rotated",55
"norm","t",0.1,"sige1_sigb2","AD.b0.vmx",0.512,"AD","b0","Varimax Rotated",55
"t","exp",0.05,"sige1_sigb2","AD.b0.vmx",0.347,"AD","b0","Varimax Rotated",55
"t","exp",0.1,"sige1_sigb2","AD.b0.vmx",0.44,"AD","b0","Varimax Rotated",55
"t","norm",0.05,"sige1_sigb2","AD.b0.vmx",0.049,"AD","b0","Varimax Rotated",55
"t","norm",0.1,"sige1_sigb2","AD.b0.vmx",0.101,"AD","b0","Varimax Rotated",55
"t","t",0.05,"sige1_sigb2","AD.b0.vmx",0.427,"AD","b0","Varimax Rotated",55
"t","t",0.1,"sige1_sigb2","AD.b0.vmx",0.523,"AD","b0","Varimax Rotated",55
"exp","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.222,"AD","b0","Varimax Rotated",58
"exp","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.329,"AD","b0","Varimax Rotated",58
"exp","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.052,"AD","b0","Varimax Rotated",58
"exp","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.102,"AD","b0","Varimax Rotated",58
"exp","t",0.05,"sige2_sigb1","AD.b0.vmx",0.278,"AD","b0","Varimax Rotated",58
"exp","t",0.1,"sige2_sigb1","AD.b0.vmx",0.369,"AD","b0","Varimax Rotated",58
"norm","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.197,"AD","b0","Varimax Rotated",58
"norm","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.286,"AD","b0","Varimax Rotated",58
"norm","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.049,"AD","b0","Varimax Rotated",58
"norm","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.112,"AD","b0","Varimax Rotated",58
"norm","t",0.05,"sige2_sigb1","AD.b0.vmx",0.221,"AD","b0","Varimax Rotated",58
"norm","t",0.1,"sige2_sigb1","AD.b0.vmx",0.306,"AD","b0","Varimax Rotated",58
"t","exp",0.05,"sige2_sigb1","AD.b0.vmx",0.297,"AD","b0","Varimax Rotated",58
"t","exp",0.1,"sige2_sigb1","AD.b0.vmx",0.394,"AD","b0","Varimax Rotated",58
"t","norm",0.05,"sige2_sigb1","AD.b0.vmx",0.09,"AD","b0","Varimax Rotated",58
"t","norm",0.1,"sige2_sigb1","AD.b0.vmx",0.157,"AD","b0","Varimax Rotated",58
"t","t",0.05,"sige2_sigb1","AD.b0.vmx",0.344,"AD","b0","Varimax Rotated",58
"t","t",0.1,"sige2_sigb1","AD.b0.vmx",0.444,"AD","b0","Varimax Rotated",58
"exp","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.397,"AD","b0","Varimax Rotated",58
"exp","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.51,"AD","b0","Varimax Rotated",58
"exp","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.054,"AD","b0","Varimax Rotated",58
"exp","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.105,"AD","b0","Varimax Rotated",58
"exp","t",0.05,"sige1_sigb1","AD.b0.vmx",0.42,"AD","b0","Varimax Rotated",58
"exp","t",0.1,"sige1_sigb1","AD.b0.vmx",0.502,"AD","b0","Varimax Rotated",58
"norm","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.362,"AD","b0","Varimax Rotated",58
"norm","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.468,"AD","b0","Varimax Rotated",58
"norm","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.053,"AD","b0","Varimax Rotated",58
"norm","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.108,"AD","b0","Varimax Rotated",58
"norm","t",0.05,"sige1_sigb1","AD.b0.vmx",0.404,"AD","b0","Varimax Rotated",58
"norm","t",0.1,"sige1_sigb1","AD.b0.vmx",0.494,"AD","b0","Varimax Rotated",58
"t","exp",0.05,"sige1_sigb1","AD.b0.vmx",0.423,"AD","b0","Varimax Rotated",58
"t","exp",0.1,"sige1_sigb1","AD.b0.vmx",0.514,"AD","b0","Varimax Rotated",58
"t","norm",0.05,"sige1_sigb1","AD.b0.vmx",0.059,"AD","b0","Varimax Rotated",58
"t","norm",0.1,"sige1_sigb1","AD.b0.vmx",0.107,"AD","b0","Varimax Rotated",58
"t","t",0.05,"sige1_sigb1","AD.b0.vmx",0.471,"AD","b0","Varimax Rotated",58
"t","t",0.1,"sige1_sigb1","AD.b0.vmx",0.542,"AD","b0","Varimax Rotated",58
