"error","ranef","alpha","var.settings","variable","prop.reject","nortest","random.effect","rotation","s"
"norm","norm",0.05,"sige2_sigb1","AD.b0",0.05,"AD","b0","Rotated",35
"norm","norm",0.1,"sige2_sigb1","AD.b0",0.106,"AD","b0","Rotated",35
"norm","t",0.05,"sige2_sigb1","AD.b0",0.131,"AD","b0","Rotated",35
"norm","t",0.1,"sige2_sigb1","AD.b0",0.212,"AD","b0","Rotated",35
"t","exp",0.05,"sige2_sigb1","AD.b0",0.113,"AD","b0","Rotated",35
"t","exp",0.1,"sige2_sigb1","AD.b0",0.185,"AD","b0","Rotated",35
"t","norm",0.05,"sige2_sigb1","AD.b0",0.042,"AD","b0","Rotated",35
"t","norm",0.1,"sige2_sigb1","AD.b0",0.103,"AD","b0","Rotated",35
"t","t",0.05,"sige2_sigb1","AD.b0",0.148,"AD","b0","Rotated",35
"t","t",0.1,"sige2_sigb1","AD.b0",0.212,"AD","b0","Rotated",35
"exp","exp",0.05,"sige1_sigb1","AD.b0",0.138,"AD","b0","Rotated",35
"exp","exp",0.1,"sige1_sigb1","AD.b0",0.205,"AD","b0","Rotated",35
"exp","norm",0.05,"sige1_sigb1","AD.b0",0.043,"AD","b0","Rotated",35
"exp","norm",0.1,"sige1_sigb1","AD.b0",0.089,"AD","b0","Rotated",35
"exp","t",0.05,"sige1_sigb1","AD.b0",0.192,"AD","b0","Rotated",35
"exp","t",0.1,"sige1_sigb1","AD.b0",0.271,"AD","b0","Rotated",35
"norm","exp",0.05,"sige1_sigb1","AD.b0",0.149,"AD","b0","Rotated",35
"norm","exp",0.1,"sige1_sigb1","AD.b0",0.227,"AD","b0","Rotated",35
"norm","norm",0.05,"sige1_sigb1","AD.b0",0.043,"AD","b0","Rotated",35
"norm","norm",0.1,"sige1_sigb1","AD.b0",0.095,"AD","b0","Rotated",35
"norm","t",0.05,"sige1_sigb1","AD.b0",0.155,"AD","b0","Rotated",35
"norm","t",0.1,"sige1_sigb1","AD.b0",0.225,"AD","b0","Rotated",35
"t","exp",0.05,"sige1_sigb1","AD.b0",0.153,"AD","b0","Rotated",35
"t","exp",0.1,"sige1_sigb1","AD.b0",0.23,"AD","b0","Rotated",35
"t","norm",0.05,"sige1_sigb1","AD.b0",0.048,"AD","b0","Rotated",35
"t","norm",0.1,"sige1_sigb1","AD.b0",0.09,"AD","b0","Rotated",35
"t","t",0.05,"sige1_sigb1","AD.b0",0.186,"AD","b0","Rotated",35
"t","t",0.1,"sige1_sigb1","AD.b0",0.252,"AD","b0","Rotated",35
"exp","exp",0.05,"sige1_sigb2","AD.b0",0.181,"AD","b0","Rotated",35
"exp","exp",0.1,"sige1_sigb2","AD.b0",0.262,"AD","b0","Rotated",35
"exp","norm",0.05,"sige1_sigb2","AD.b0",0.043,"AD","b0","Rotated",35
"exp","norm",0.1,"sige1_sigb2","AD.b0",0.102,"AD","b0","Rotated",35
"exp","t",0.05,"sige1_sigb2","AD.b0",0.203,"AD","b0","Rotated",35
"exp","t",0.1,"sige1_sigb2","AD.b0",0.289,"AD","b0","Rotated",35
"norm","exp",0.05,"sige1_sigb2","AD.b0",0.173,"AD","b0","Rotated",35
"norm","exp",0.1,"sige1_sigb2","AD.b0",0.262,"AD","b0","Rotated",35
"norm","norm",0.05,"sige1_sigb2","AD.b0",0.061,"AD","b0","Rotated",35
"norm","norm",0.1,"sige1_sigb2","AD.b0",0.107,"AD","b0","Rotated",35
"norm","t",0.05,"sige1_sigb2","AD.b0",0.169,"AD","b0","Rotated",35
"norm","t",0.1,"sige1_sigb2","AD.b0",0.261,"AD","b0","Rotated",35
"t","exp",0.05,"sige1_sigb2","AD.b0",0.201,"AD","b0","Rotated",35
"t","exp",0.1,"sige1_sigb2","AD.b0",0.273,"AD","b0","Rotated",35
"t","norm",0.05,"sige1_sigb2","AD.b0",0.055,"AD","b0","Rotated",35
"t","norm",0.1,"sige1_sigb2","AD.b0",0.11,"AD","b0","Rotated",35
"t","t",0.05,"sige1_sigb2","AD.b0",0.208,"AD","b0","Rotated",35
"t","t",0.1,"sige1_sigb2","AD.b0",0.292,"AD","b0","Rotated",35
"exp","exp",0.05,"sige2_sigb1","AD.b0",0.11,"AD","b0","Rotated",40
"exp","exp",0.1,"sige2_sigb1","AD.b0",0.182,"AD","b0","Rotated",40
"exp","norm",0.05,"sige2_sigb1","AD.b0",0.056,"AD","b0","Rotated",40
"exp","norm",0.1,"sige2_sigb1","AD.b0",0.113,"AD","b0","Rotated",40
"exp","t",0.05,"sige2_sigb1","AD.b0",0.132,"AD","b0","Rotated",40
"exp","t",0.1,"sige2_sigb1","AD.b0",0.195,"AD","b0","Rotated",40
"norm","exp",0.05,"sige2_sigb1","AD.b0",0.1,"AD","b0","Rotated",40
"norm","exp",0.1,"sige2_sigb1","AD.b0",0.179,"AD","b0","Rotated",40
"norm","norm",0.05,"sige2_sigb1","AD.b0",0.044,"AD","b0","Rotated",40
"norm","norm",0.1,"sige2_sigb1","AD.b0",0.109,"AD","b0","Rotated",40
"norm","t",0.05,"sige2_sigb1","AD.b0",0.13,"AD","b0","Rotated",40
"norm","t",0.1,"sige2_sigb1","AD.b0",0.207,"AD","b0","Rotated",40
"t","exp",0.05,"sige2_sigb1","AD.b0",0.101,"AD","b0","Rotated",40
"t","exp",0.1,"sige2_sigb1","AD.b0",0.183,"AD","b0","Rotated",40
"t","norm",0.05,"sige2_sigb1","AD.b0",0.05,"AD","b0","Rotated",40
"t","norm",0.1,"sige2_sigb1","AD.b0",0.114,"AD","b0","Rotated",40
"t","t",0.05,"sige2_sigb1","AD.b0",0.16,"AD","b0","Rotated",40
"t","t",0.1,"sige2_sigb1","AD.b0",0.232,"AD","b0","Rotated",40
"exp","exp",0.05,"sige1_sigb1","AD.b0",0.146,"AD","b0","Rotated",40
"exp","exp",0.1,"sige1_sigb1","AD.b0",0.223,"AD","b0","Rotated",40
"exp","norm",0.05,"sige1_sigb1","AD.b0",0.048,"AD","b0","Rotated",40
"exp","norm",0.1,"sige1_sigb1","AD.b0",0.094,"AD","b0","Rotated",40
"exp","t",0.05,"sige1_sigb1","AD.b0",0.207,"AD","b0","Rotated",40
"exp","t",0.1,"sige1_sigb1","AD.b0",0.269,"AD","b0","Rotated",40
"norm","exp",0.05,"sige1_sigb1","AD.b0",0.161,"AD","b0","Rotated",40
"norm","exp",0.1,"sige1_sigb1","AD.b0",0.247,"AD","b0","Rotated",40
"norm","norm",0.05,"sige1_sigb1","AD.b0",0.044,"AD","b0","Rotated",40
"norm","norm",0.1,"sige1_sigb1","AD.b0",0.094,"AD","b0","Rotated",40
"norm","t",0.05,"sige1_sigb1","AD.b0",0.171,"AD","b0","Rotated",40
"norm","t",0.1,"sige1_sigb1","AD.b0",0.239,"AD","b0","Rotated",40
"t","exp",0.05,"sige1_sigb1","AD.b0",0.172,"AD","b0","Rotated",40
"t","exp",0.1,"sige1_sigb1","AD.b0",0.258,"AD","b0","Rotated",40
"t","norm",0.05,"sige1_sigb1","AD.b0",0.05,"AD","b0","Rotated",40
"t","norm",0.1,"sige1_sigb1","AD.b0",0.098,"AD","b0","Rotated",40
"t","t",0.05,"sige1_sigb1","AD.b0",0.191,"AD","b0","Rotated",40
"t","t",0.1,"sige1_sigb1","AD.b0",0.26,"AD","b0","Rotated",40
"exp","exp",0.05,"sige1_sigb2","AD.b0",0.206,"AD","b0","Rotated",40
"exp","exp",0.1,"sige1_sigb2","AD.b0",0.289,"AD","b0","Rotated",40
"exp","norm",0.05,"sige1_sigb2","AD.b0",0.051,"AD","b0","Rotated",40
"exp","norm",0.1,"sige1_sigb2","AD.b0",0.108,"AD","b0","Rotated",40
"exp","t",0.05,"sige1_sigb2","AD.b0",0.214,"AD","b0","Rotated",40
"exp","t",0.1,"sige1_sigb2","AD.b0",0.289,"AD","b0","Rotated",40
"norm","exp",0.05,"sige1_sigb2","AD.b0",0.197,"AD","b0","Rotated",40
"norm","exp",0.1,"sige1_sigb2","AD.b0",0.271,"AD","b0","Rotated",40
"norm","norm",0.05,"sige1_sigb2","AD.b0",0.049,"AD","b0","Rotated",40
"norm","norm",0.1,"sige1_sigb2","AD.b0",0.103,"AD","b0","Rotated",40
"norm","t",0.05,"sige1_sigb2","AD.b0",0.195,"AD","b0","Rotated",40
"norm","t",0.1,"sige1_sigb2","AD.b0",0.279,"AD","b0","Rotated",40
"t","exp",0.05,"sige1_sigb2","AD.b0",0.189,"AD","b0","Rotated",40
"t","exp",0.1,"sige1_sigb2","AD.b0",0.292,"AD","b0","Rotated",40
"t","norm",0.05,"sige1_sigb2","AD.b0",0.056,"AD","b0","Rotated",40
"t","norm",0.1,"sige1_sigb2","AD.b0",0.11,"AD","b0","Rotated",40
"t","t",0.05,"sige1_sigb2","AD.b0",0.225,"AD","b0","Rotated",40
"t","t",0.1,"sige1_sigb2","AD.b0",0.309,"AD","b0","Rotated",40
"exp","exp",0.05,"sige2_sigb1","AD.b0",0.122,"AD","b0","Rotated",45
"exp","exp",0.1,"sige2_sigb1","AD.b0",0.191,"AD","b0","Rotated",45
"exp","norm",0.05,"sige2_sigb1","AD.b0",0.058,"AD","b0","Rotated",45
"exp","norm",0.1,"sige2_sigb1","AD.b0",0.102,"AD","b0","Rotated",45
"exp","t",0.05,"sige2_sigb1","AD.b0",0.136,"AD","b0","Rotated",45
"exp","t",0.1,"sige2_sigb1","AD.b0",0.208,"AD","b0","Rotated",45
"norm","exp",0.05,"sige2_sigb1","AD.b0",0.097,"AD","b0","Rotated",45
"norm","exp",0.1,"sige2_sigb1","AD.b0",0.184,"AD","b0","Rotated",45
"norm","norm",0.05,"sige2_sigb1","AD.b0",0.043,"AD","b0","Rotated",45
"norm","norm",0.1,"sige2_sigb1","AD.b0",0.102,"AD","b0","Rotated",45
"norm","t",0.05,"sige2_sigb1","AD.b0",0.134,"AD","b0","Rotated",45
"norm","t",0.1,"sige2_sigb1","AD.b0",0.199,"AD","b0","Rotated",45
"t","exp",0.05,"sige2_sigb1","AD.b0",0.113,"AD","b0","Rotated",45
"t","exp",0.1,"sige2_sigb1","AD.b0",0.185,"AD","b0","Rotated",45
"t","norm",0.05,"sige2_sigb1","AD.b0",0.062,"AD","b0","Rotated",45
"t","norm",0.1,"sige2_sigb1","AD.b0",0.121,"AD","b0","Rotated",45
"t","t",0.05,"sige2_sigb1","AD.b0",0.161,"AD","b0","Rotated",45
"t","t",0.1,"sige2_sigb1","AD.b0",0.231,"AD","b0","Rotated",45
"exp","exp",0.05,"sige1_sigb1","AD.b0",0.149,"AD","b0","Rotated",45
"exp","exp",0.1,"sige1_sigb1","AD.b0",0.22,"AD","b0","Rotated",45
"exp","norm",0.05,"sige1_sigb1","AD.b0",0.04,"AD","b0","Rotated",45
"exp","norm",0.1,"sige1_sigb1","AD.b0",0.087,"AD","b0","Rotated",45
"exp","t",0.05,"sige1_sigb1","AD.b0",0.222,"AD","b0","Rotated",45
"exp","t",0.1,"sige1_sigb1","AD.b0",0.285,"AD","b0","Rotated",45
"norm","exp",0.05,"sige1_sigb1","AD.b0",0.167,"AD","b0","Rotated",45
"norm","exp",0.1,"sige1_sigb1","AD.b0",0.249,"AD","b0","Rotated",45
"norm","norm",0.05,"sige1_sigb1","AD.b0",0.042,"AD","b0","Rotated",45
"norm","norm",0.1,"sige1_sigb1","AD.b0",0.09,"AD","b0","Rotated",45
"norm","t",0.05,"sige1_sigb1","AD.b0",0.183,"AD","b0","Rotated",45
"norm","t",0.1,"sige1_sigb1","AD.b0",0.263,"AD","b0","Rotated",45
"t","exp",0.05,"sige1_sigb1","AD.b0",0.186,"AD","b0","Rotated",45
"t","exp",0.1,"sige1_sigb1","AD.b0",0.265,"AD","b0","Rotated",45
"t","norm",0.05,"sige1_sigb1","AD.b0",0.057,"AD","b0","Rotated",45
"t","norm",0.1,"sige1_sigb1","AD.b0",0.105,"AD","b0","Rotated",45
"t","t",0.05,"sige1_sigb1","AD.b0",0.21,"AD","b0","Rotated",45
"t","t",0.1,"sige1_sigb1","AD.b0",0.28,"AD","b0","Rotated",45
"exp","exp",0.05,"sige1_sigb2","AD.b0",0.215,"AD","b0","Rotated",45
"exp","exp",0.1,"sige1_sigb2","AD.b0",0.294,"AD","b0","Rotated",45
"exp","norm",0.05,"sige1_sigb2","AD.b0",0.054,"AD","b0","Rotated",45
"exp","norm",0.1,"sige1_sigb2","AD.b0",0.103,"AD","b0","Rotated",45
"exp","t",0.05,"sige1_sigb2","AD.b0",0.241,"AD","b0","Rotated",45
"exp","t",0.1,"sige1_sigb2","AD.b0",0.326,"AD","b0","Rotated",45
"norm","exp",0.05,"sige1_sigb2","AD.b0",0.213,"AD","b0","Rotated",45
"norm","exp",0.1,"sige1_sigb2","AD.b0",0.3,"AD","b0","Rotated",45
"norm","norm",0.05,"sige1_sigb2","AD.b0",0.049,"AD","b0","Rotated",45
"norm","norm",0.1,"sige1_sigb2","AD.b0",0.11,"AD","b0","Rotated",45
"norm","t",0.05,"sige1_sigb2","AD.b0",0.217,"AD","b0","Rotated",45
"norm","t",0.1,"sige1_sigb2","AD.b0",0.297,"AD","b0","Rotated",45
"t","exp",0.05,"sige1_sigb2","AD.b0",0.222,"AD","b0","Rotated",45
"t","exp",0.1,"sige1_sigb2","AD.b0",0.307,"AD","b0","Rotated",45
"t","norm",0.05,"sige1_sigb2","AD.b0",0.062,"AD","b0","Rotated",45
"t","norm",0.1,"sige1_sigb2","AD.b0",0.125,"AD","b0","Rotated",45
"t","t",0.05,"sige1_sigb2","AD.b0",0.245,"AD","b0","Rotated",45
"t","t",0.1,"sige1_sigb2","AD.b0",0.324,"AD","b0","Rotated",45
"exp","exp",0.05,"sige2_sigb1","AD.b0",0.122,"AD","b0","Rotated",50
"exp","exp",0.1,"sige2_sigb1","AD.b0",0.186,"AD","b0","Rotated",50
"exp","norm",0.05,"sige2_sigb1","AD.b0",0.057,"AD","b0","Rotated",50
"exp","norm",0.1,"sige2_sigb1","AD.b0",0.106,"AD","b0","Rotated",50
"exp","t",0.05,"sige2_sigb1","AD.b0",0.142,"AD","b0","Rotated",50
"exp","t",0.1,"sige2_sigb1","AD.b0",0.209,"AD","b0","Rotated",50
"norm","exp",0.05,"sige2_sigb1","AD.b0",0.095,"AD","b0","Rotated",50
