"sigma_e","sigma_b","e_dsn","b_dsn","fc.b0","fc.b1","s_int","s_slope"
2,1,"t","exp",0.283812663278566,0.579085194080142,35,35
2,1,"t","norm",0.270211064400424,0.569451313862913,35,35
2,1,"t","t",0.311146060822649,0.596441448145478,35,35
1,1,"exp","exp",0.104940146568024,0.335577109100721,35,35
1,1,"exp","norm",0.0995834708805485,0.316587979401117,35,35
1,1,"exp","t",0.118807500463429,0.360193003781124,35,35
1,1,"norm","exp",0.10483595437833,0.33290762782055,35,35
1,1,"norm","norm",0.0982678152818253,0.319524093519409,35,35
1,1,"norm","t",0.11996757937838,0.361580060506037,35,35
1,1,"t","exp",0.104589532416359,0.327994135485624,35,35
1,1,"t","norm",0.0980420671199092,0.317664912289148,35,35
1,1,"t","t",0.118006144028381,0.360301246309422,35,35
1,2,"exp","exp",0.0322184493627307,0.138004561432159,35,35
1,2,"exp","norm",0.0301689280350681,0.1281347447029,35,35
1,2,"exp","t",0.0371865116163241,0.153949865870354,35,35
1,2,"norm","exp",0.0322643451065262,0.137545276541685,35,35
1,2,"norm","norm",0.0297411350127305,0.129269656051853,35,35
1,2,"norm","t",0.0376813408123611,0.154671231140502,35,35
1,2,"t","exp",0.0320241658137704,0.133970799597549,35,35
1,2,"t","norm",0.029760076635485,0.127656314052329,35,35
1,2,"t","t",0.0372927245767521,0.15342673567901,35,35
2,1,"exp","exp",0.309483103245082,0.603422869370736,40,40
2,1,"exp","norm",0.295524223201331,0.593921096704002,40,40
2,1,"exp","t",0.339026774116077,0.615607093279232,40,40
2,1,"norm","exp",0.307822226220792,0.598478451010962,40,40
2,1,"norm","norm",0.29213143724833,0.593528606023457,40,40
2,1,"norm","t",0.339272330997435,0.626437028880854,40,40
2,1,"t","exp",0.306354024306742,0.599569154452163,40,40
2,1,"t","norm",0.292995508663335,0.589911442639625,40,40
2,1,"t","t",0.334336781366043,0.616393005580683,40,40
1,1,"exp","exp",0.118026699029745,0.359282991687075,40,40
1,1,"exp","norm",0.112369558166834,0.340899497743817,40,40
1,1,"exp","t",0.133029041645795,0.383608697305222,40,40
1,1,"norm","exp",0.117941860009274,0.356797558310085,40,40
1,1,"norm","norm",0.110927329985683,0.343962066441098,40,40
1,1,"norm","t",0.134305162043221,0.385127210798077,40,40
1,1,"t","exp",0.11761086924077,0.351073323614706,40,40
1,1,"t","norm",0.110582478510989,0.341328450495665,40,40
1,1,"t","t",0.132099416018472,0.383179507742313,40,40
1,2,"exp","exp",0.0374385551190809,0.150536457971626,40,40
1,2,"exp","norm",0.0351475047181874,0.139952475871059,40,40
1,2,"exp","t",0.0430377741764675,0.167723576073453,40,40
1,2,"norm","exp",0.0374899806816115,0.150051690433231,40,40
1,2,"norm","norm",0.0346741844935452,0.141148303698019,40,40
1,2,"norm","t",0.0435967313035288,0.168523133553283,40,40
1,2,"t","exp",0.0372023597582285,0.14609404444494,40,40
1,2,"t","norm",0.0346511983396917,0.139412758365366,40,40
1,2,"t","t",0.0431342832602011,0.166967579379887,40,40
2,1,"exp","exp",0.330608639775286,0.622094159085103,45,45
2,1,"exp","norm",0.317120553169322,0.612991289522193,45,45
2,1,"exp","t",0.360550215518692,0.63381725405046,45,45
2,1,"norm","exp",0.329054389934859,0.617472322281819,45,45
2,1,"norm","norm",0.313687485367064,0.612815370434953,45,45
2,1,"norm","t",0.360810872710108,0.644391544912249,45,45
2,1,"t","exp",0.327294877499209,0.617842659323178,45,45
2,1,"t","norm",0.31432989639732,0.608354571767196,45,45
2,1,"t","t",0.355688770875174,0.633990873295836,45,45
1,1,"exp","exp",0.130310968077953,0.379596044561916,45,45
1,1,"exp","norm",0.124354835816112,0.361441045801121,45,45
1,1,"exp","t",0.146342938998178,0.404055797110384,45,45
1,1,"norm","exp",0.130225362304964,0.377212907900448,45,45
1,1,"norm","norm",0.122783138639034,0.364579765538032,45,45
1,1,"norm","t",0.147707528052409,0.405771202630676,45,45
1,1,"t","exp",0.129896559880887,0.370762810850351,45,45
1,1,"t","norm",0.122415360411684,0.361321395155252,45,45
1,1,"t","t",0.145344764255454,0.403147369154325,45,45
1,2,"exp","exp",0.0428228474868248,0.161052097935424,45,45
1,2,"exp","norm",0.040302339317029,0.149853425680685,45,45
